"id","name","parent_id:id","index"
dir_up_project,项目目录,,1

dir_up_project_going,项目待归档文件,dir_up_project,11
dir_up_project_filed,项目归档文件,dir_up_project,12


dir_up_project_going_processing,过程文件,dir_up_project_going,111
dir_up_project_going_processing_dwg,DWG图形文件,dir_up_project_going_processing,1111
dir_up_project_going_processing_psd,PSD参考模型,dir_up_project_going_processing,1112
dir_up_project_going_processing_report,中间汇报成果及汇报系统,dir_up_project_going_processing,1113
dir_up_project_going_processing_else,其他,dir_up_project_going_processing,1114

dir_up_project_going_iso,ISO表单,dir_up_project_going,112
dir_up_project_going_iso_workflow,审批流程表单,dir_up_project_going_iso,1121
dir_up_project_activing,任务下达,dir_up_project_going_iso_workflow,1122
dir_up_project_going_iso_contract,归档合同,dir_up_project_going_iso,1123
dir_up_project_going_iso_memo,"会议纪要,评审会议意见,甲方意见,回复甲方意见内容",dir_up_project_going_iso,1124

dir_up_project_going_result,成果,dir_up_project_going,113
dir_up_project_going_result_media,汇报系统及多媒体,dir_up_project_going_result,1131
dir_up_project_going_result_guide,说明书,dir_up_project_going_result,1132
dir_up_project_going_result_picture,图集或图纸,dir_up_project_going_result,1133
dir_up_project_going_result_doc,文本,dir_up_project_going_result,1134
dir_up_project_going_result_else,其他,dir_up_project_going_result,1135

dir_up_project_going_brief,项目简介,dir_up_project_going,114
dir_up_project_going_brief_display,其他,dir_up_project_going_brief,1141
dir_up_project_going_brief_brief,项目简介,dir_up_project_going_brief,1142
dir_up_project_going_brief_picture,展示图片,dir_up_project_going_brief,1143

dir_up_project_going_data,项目资料,dir_up_project_going,115
dir_up_project_going_data_cadastral,测绘数据,dir_up_project_going_data,1151
dir_up_project_going_data_outsource,上层次规划及外来参考案例,dir_up_project_going_data,1154





dir_up_project_filed_processing,过程文件,dir_up_project_filed,121
dir_up_project_filed_processing_dwg,DWG图形文件,dir_up_project_filed_processing,1211
dir_up_project_filed_processing_psd,PSD参考模型,dir_up_project_filed_processing,1212
dir_up_project_filed_processing_report,中间汇报成果及汇报系统,dir_up_project_filed_processing,1213
dir_up_project_filed_processing_else,其他,dir_up_project_filed_processing,1214

dir_up_project_filed_iso,ISO表单,dir_up_project_filed,122
dir_up_project_filed_iso_workflow,审批流程表单,dir_up_project_filed_iso,1221
dir_up_project_active,任务下达,dir_up_project_filed_iso_workflow,1222
dir_up_project_filed_iso_contract,归档合同,dir_up_project_filed_iso,1223
dir_up_project_filed_iso_memo,"会议纪要,评审会议意见,甲方意见,回复甲方意见内容",dir_up_project_filed_iso,1224

dir_up_project_filed_result,成果,dir_up_project_filed,123
dir_up_project_filed_result_media,汇报系统及多媒体,dir_up_project_filed_result,1231
dir_up_project_filed_result_guide,说明书,dir_up_project_filed_result,1232
dir_up_project_filed_result_picture,图集或图纸,dir_up_project_filed_result,1233
dir_up_project_filed_result_doc,文本,dir_up_project_filed_result,1234
dir_up_project_filed_result_else,其他,dir_up_project_filed_result,1235

dir_up_project_filed_brief,项目简介,dir_up_project_filed,124
dir_up_project_filed_brief_display,其他,dir_up_project_filed_brief,1241
dir_up_project_filed_brief_brief,项目简介,dir_up_project_filed_brief,1242
dir_up_project_filed_brief_picture,展示图片,dir_up_project_filed_brief,1243

dir_up_project_filed_data,项目资料,dir_up_project_filed,125
dir_up_project_filed_data_cadastral,测绘数据,dir_up_project_filed_data,1251
dir_up_project_filed_data_outsource,上层次规划及外来参考案例,dir_up_project_filed_data,1254

dir_up_project_provisional,项目临时目录,,2
dir_up_project_trash,垃圾桶,dir_up_project_provisional,22
