"external id","name","deleted"
"UG050721000002","院部",False
"UG050721000003","办    公    室",True
"UG050721000004","办公室",False
"UG050721000005","总师室",False
"UG050721000006","经营室",False
"UG050721000007","综合办",False
"UG050721000008","信息中心",False
"UG050721000009","城市规划研究所(08前)",False
"UG050721000010","六所",False
"UG050721000011","一所",False
"UG050721000012","二所",False
"UG050721000013","三所",False
"UG050721000014","城市设计研究所",False
"UG050721000015","建环所",False
"UG050721000016","市政规划研究所",False
"UG050725000001","工程设计分院",False
"UG050725000002","规划学会",False
"UG050725000003","规划展厅",True
"UG050725000004","上海分院",True
"UG050801000001","财务室",True
"UG050908000001","城市发展研究所",True
"UG050908000002","城市发展研究所",False
"UG050926000001","其它",False
"UG060329000001","中国规划学会学工委",True
"UG090209000001","五所",False
"UG100120000001","四所",True
"UG100120000002","四所",False
"UG100512000001","城乡发展规划研究所",False
"UG110111000001","城市设计一所",False
"UG110111000002","城市设计二所",False
"UG110215000001","上海分院",False
"UG110819000001","重庆分院",False
"UG120110000001","城市规划研究所",False
