"external id","name","content","read times","Author / external id","Display name?","Category"
"HI200801250011","赞","<P>这次的新春联谊晚会办得很成功，赞一个！</P>",83,"SU000000000043",False,"08春节联谊会"
"HI200807150001","会不会有人把他发到网上去啊？","如题",57,"SU000000000087",True,"08春节联谊会"
"HI200605260023","规则说明","<P>&nbsp;</P>
<P><STRONG>参赛范围：</STRONG>全院职工、实习生</P>
<P><STRONG>作品要求：</STRONG>作品应是一年以来创作的DV影像作品。作品时间长度不超过10分钟</P>
<P>格式统一为DVD、VCD碟片，或mpeg 2格式的电子文件。（作品格式处理若有困</P>
<P>难，信息中心可协助，联系人：李月平，电话：83949113）</P>
<P>提交作品时请附作品名称、作品简介（200字以内）、作者姓名及联系方式。</P>
<P><STRONG>作品提交：</STRONG>内网－院节专栏－网上投稿，或直接交到信息中心：张恩平（建艺</P>
<P>大厦1101，电话：83788151）；李月平（规划大厦891，电话：83949113）。</P>
<P>征稿时间：2006年5月29日～2006年6月20日</P>
<P><BR><STRONG>奖项设置：</STRONG></P>
<P>一等奖：一名&nbsp;&nbsp; 价值800元的奖品</P>
<P>二等奖：两名&nbsp;&nbsp; 价值500元的奖品</P>
<P>鼓励奖：五名&nbsp;&nbsp; 价值300元的奖品</P>
<P><STRONG>注意事项：</STRONG>1、参赛作品必须是参赛者本人创作或参与创作，即原创作品。不得</P>
<P>发生侵犯他人著作权、肖像权、名誉权等行为，否则产生的一切后果由作者自行</P>
<P>承担。</P>
<P>2、大赛主办方拥有本次比赛的作品最终评审权，并有权选用参赛作品全片或片</P>
<P>断在公共媒体和网络上公开播出。</P>
<P>3、凡提交作品参赛，即表示参赛者同意以上条款。</P>",132,"SU000000000048",False,"DV评选"
"HI200606220009","篮球-洪涛","<A href=""http://10.100.100.204/hp_module/uploadFile/IBM-0252006621174631.wmv"" target=_blank>洪涛DV-篮球.wmv</A>",94,"SU000000000048",False,"DV评选"
"HI200606220011","走光记-陈慧莉","<A href=""http://10.100.100.204/hp_module/uploadFile/IBM-0252006621175345.MPG"" target=_blank>走光记.MPG</A>",144,"SU000000000048",False,"DV评选"
"HI200606230012","电子院回忆录","张丰润作品<A href=""http://10.100.100.204/hp_module/uploadFile/LEE200662322053.wmv"" target=_blank>电子院回忆录-张丰润.wmv</A>",78,"SU000000000048",False,"DV评选"
"HI200606250002","遇龙河漂流","<A href=""http://10.100.100.204/hp_module/uploadFile/LEE200662581737.MOV"" target=_blank>遇龙河漂流－彭劼.MOV</A>",115,"SU000000000048",False,"DV评选"
"HI200606250003","无锡之旅","<A href=""http://10.100.100.204/hp_module/uploadFile/LEE200662581854.mpg"" target=_blank>无锡之旅.mpg</A>",73,"SU000000000048",False,"DV评选"
"HI200606250004","上海分院06迎新","<A href=""http://10.100.100.204/hp_module/uploadFile/LEE200662582249.rmvb"" target=_blank>上海分院06迎新.rmvb</A>",101,"SU000000000048",False,"DV评选"
"4494          ","电子数据安全管理细则","请各部门按《细则》要求对数据进行备份和处置。具体查看附件。",7,"SU000000000001",False,"it社区"
"4495          ","局域网配置基本资料","建艺大厦总部<br>
IP段:10.100.100.0-254；子网掩码：255.255.255.0<br>
网关：10.100.100.244<br>
Internet代理服务器IP:10.100.100.117，端口号：808<br>
院内办公自动化系统服务器IP:10.100.100.174<br>
Symantec服务器IP:10.100.100.123/sav<br>
东方时尚办公分部：<br>
IP段:10.100.101.0-254；子网掩码：255.255.255.0<br>
网关：10.100.101.1<br>
Internet代理服务器IP:10.100.101.254，端口号：808<br>
Symantec服务器IP:10.100.101.20/sav<br>
电子院分部：<br>
IP段:10.100.102.0-254；子网掩码：255.255.255.0<br>
网关：10.100.102.1<br>
Internet代理服务器IP:10.100.102.3，端口号：808<br>
Symantec服务器IP:10.100.102.6/sav<br>
<br>
IMPORTANT：各电脑须配置本机IP、子网掩码，网关等才能实现院三点办公室VPN互联。<br>
",31,"SU000000000001",False,"it社区"
"4496          "," “冲击波”、“Lovegate”专门杀毒方法","目前，“冲击波”、“硬盘杀手”和“Lovegate”等病毒流行，请各位员工安装SP4补丁程序（\\软件下载\常用软件)和网络防火墙，并升级。该病毒通过操作系统漏洞侵入，用常用杀毒软件难以捕作。&lt;br&gt;<br>
已中了病毒的机器，请用专用杀毒软件查杀（\\软件下载\常用软件)。&lt;br&gt;<br>
如果再不能清除病毒，则先格式化硬盘，再重装系统和补丁程序、网络防火墙等。",5,"SU000000000001",False,"it社区"
"4497          ","    用Symantec查杀Lovegate病毒专题","这里有一种用Symantec查杀“爱情后门”病毒的方法，有意者可按附件中的操作方法尝试。自动运行程序请到\\在线办公\\软件下载\常用软件\爱情后门专杀Symentac版.&lt;br&gt;<br>
Important: Symantec必须是升级到2004年4月7日以后的版本，否则无效。",11,"SU000000000001",False,"it社区"
"4498          "," 计算机病毒临时处理方案","&lt;br&gt;<br>
目前，院网络内计算机病毒较多，主要有：冲击波、win32.Lovegate.R和w32.gaobot.gen等。其中：导致客户端运行缓慢的病毒是win32.Lovegate.R，该病毒在系统进程内加载程序，如：Iexplore.exe、Ravmond.exe、WinHelp.exe。是得CPU占有率为100%，严重影响客户端的使用。而导致网络流量严重超负的病毒是w32.gaobot.gen。该病毒利用Microsoft系统的漏洞，在网络内频发数据包，使用户浏览网页，收发邮件及打印文件等操作无法进行，另外受该病毒攻击的客户端还会出现粘贴、复制功能无法使用，Office软件使用出现异常等现象。&lt;br&gt;<br>
针对上述问题，现提出解决方案如下：&lt;br&gt;<br>
１、缓解被病毒攻击后的网络内部流量，保证部分人员在工作性质相对重要的时刻，可提供一个比较“正常”的网络。请各位员工全部拔除计算机端的网线，最大限度的减少向网络发送数据包的数量，只有在使用网络的时候插上网线。&lt;br&gt;<br>
２、对未打补丁的操作系统安装补丁程序(如：系统补丁、IE补丁等），并升级。&lt;br&gt;<br>
３、对所有客户端全面部署杀毒软件（升级）进行查杀病毒。&lt;br&gt;<br>
４、对问题严重的客户端则重新安装软件。&lt;br&gt;<br>
5、请到“\\在线办公\软件下载”和“IT社区”中下载相关软件和查找解决方法。 &lt;br&gt;<br>
&lt;br&gt;<br>
　　　　　　　　　　　　　　　　　　　　　　　　　　电脑室&lt;br&gt;<br>
&lt;br&gt;<br>
　&lt;br&gt;<br>
 &lt;br&gt;<br>
&lt;br&gt;<br>
 &lt;br&gt;<br>
",7,"SU000000000001",False,"it社区"
